unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-79-phone-computer,envelope,noun,poostaa,,,no,high,envelope,,,
unit-79-phone-computer,stamp,noun,teembera,sumuda | sumuduu,/ˈteːmbɛrɐ/,no,medium,stamp,,,
unit-79-phone-computer,parcel,noun,baakkoo,,/ˈbɑːkːóː/,yes,high,"pocket, box, parcel",,,
unit-79-phone-computer,package,noun,awwagii,haqaarrii | haqaara,/ɐwːɐɡíː/,yes,medium,package,,,
unit-79-phone-computer,mail,noun,ergata,sanduqa poostaa,/ɛrɡɐtɐ/,yes,high,message (something to be bought from market),,,
unit-79-phone-computer,telephone,noun,bilbila,teelefoona | bilbiluu | bilbilchiisuu | haadha bilbilaa,/ˈbɪlbɪlɐ/,yes,medium,small bell,,,
unit-79-phone-computer,phone,noun,bilbiluu,baafata bilbilaa | noola,/ˈbɪlbɪlúː/,yes,high,"ring, phone",,,
unit-79-phone-computer,message,noun,ergaa,beenoo | ergata | dhaamsa | dhaammachuu,/ɛrɡɑ́ː/,yes,medium,message,,,
unit-79-phone-computer,radio,noun,raadiyoo,,,no,high,radio,,,
unit-79-phone-computer,television,noun,teelevizyiini,,/ˈteːlɛvɪʒiːnɪ/,no,high,television,,,
unit-79-phone-computer,screen,noun,argii,dayeessoo,/ɐrɡíː/,yes,medium,screen,,,
unit-79-phone-computer,computer,noun,kompuutara,,/ˈkɔmpuːtɐrɐ/,no,high,computer,,,
unit-79-phone-computer,keyboard,noun,gabatee cuqoo,,/ˈɡɐbɐteː t͡ʃʼʊkʼóː/,no,high,keyboard,,,
unit-79-phone-computer,printer,noun,maxxansaa,,/ˈmɐtʼːɐnsɑ́ː/,no,high,printer,,,
unit-79-phone-computer,file,noun,dosee,moroda | morodee | guma'uu | morodachiisuu,/ˈdɔséː/,yes,medium,file/holder/record,,,
unit-79-phone-computer,password,noun,barreertuu,iggitaa,/ˈbɐrːeːrtúː/,yes,medium,password,,,
unit-79-phone-computer,network,noun,cimdaa,cimdaa asoo,/ˈt͡ʃʼɪmdɑ́ː/,yes,high,network,,,
unit-79-phone-computer,database,noun,kuusdeetaa,,/ˈkuːsdeːtɑ́ː/,no,high,database,,,
unit-79-phone-computer,software,noun,mosaji,,/ˈmɔsɐd͡ʒɪ/,no,high,software,,,
unit-79-phone-computer,spreadsheet,noun,wardii,,/ˈwɐrdíː/,no,high,spreadsheet,,,
unit-79-phone-computer,keyword,noun,jefuraa,,/ˈd͡ʒɛfʊrɑ́ː/,no,high,keyword,,,
unit-79-phone-computer,inbox,noun,simergaa,,/ˈsɪmɛrɡɑ́ː/,no,high,inbox,,,
unit-79-phone-computer,mailbox,noun,sanduuqa ergataa,,/ˈsɐnduːkʼɐ ɛrɡɐtɑ́ː/,no,high,mailbox,,,
unit-79-phone-computer,sidebar,noun,kabala moggaa,,/ˈkɐbɐlɐ mɔɡːɑ́ː/,no,high,sidebar,,,
unit-79-phone-computer,snapshot,noun,fanyartu,,/ˈfɐɲɐrtʊ/,yes,high,snapshot,,,
