unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-81-verbs-school,study,verb,qu'achuu,qayyabachuu | qu'ata | qorannaa | qo'annoo,,no,medium,to study,,,
unit-81-verbs-school,spell,verb,qubeessuu,moruu,/ˈkʼʊbeːsːúː/,no,high,"spell, alphabetize",,,
unit-81-verbs-school,explain,verb,addeessuu,gashuu,/ɐdːeːsːúː/,yes,medium,make white,,,
unit-81-verbs-school,repeat,verb,lammeessuu,,/ˈlɐmːeːsːúː/,no,high,"to repeat, to give or take for a second time",,,
unit-81-verbs-school,practice,verb,shaakaluu,itti madaquu | shaakala | beembeetoo | bembeetoo,,no,high,to practice,,,
unit-81-verbs-school,correct,verb,halleellachuu,sirrachuu | soroorsuu | sirreessuu | sirrachiisuu,/ˈhɐlːeːlːɐt͡ʃúː/,no,medium,to correct,,,
unit-81-verbs-school,calculate,verb,shallaguu,herreeguu | herreegachuu | herreegsisuu,/ˈʃɐlːɐɡúː/,no,medium,to calculate,,,
unit-81-verbs-school,solve,verb,furii,,/ˈfʊríː/,yes,high,knot of rope,,,
unit-81-verbs-school,describe,verb,ibsuu,ibsiisuu,,no,high,to describe,,,
unit-81-verbs-school,translate,verb,afnaquu,farajuu | qooqiikuu | hiikuu,/ɐfnɐkʼúː/,yes,medium,translate,,,
unit-81-verbs-school,revise,verb,keessa deebi'uu,irra deeb'uu,/ˈkeːsːɐ deːbɪʔúː/,no,medium,to revise,,,
unit-81-verbs-school,memorize,verb,yaddachuu,,,no,high,to memorize,,,
unit-81-verbs-school,analyse,verb,balballoomsuu,,/ˈbɐlbɐlːoːmsúː/,yes,high,to analyse,,,
unit-81-verbs-school,evaluate,verb,gamaaggamuu,madaalsisuu | qocachuu | gamaaggamsiisuu,/ˈɡɐmɑːɡːɐmúː/,no,medium,evaluate,,,
unit-81-verbs-school,verify,verb,mirkaneessuu,,/ˈmɪrkɐneːsːúː/,no,high,"to verify, confirm, assure",,,
unit-81-verbs-school,summarize,verb,goolabuu,,/ˈɡoːlɐbúː/,no,high,to summarize,,,
unit-81-verbs-school,classify,verb,goseessuu,,/ˈɡɔseːsːúː/,no,high,classify,,,
unit-81-verbs-school,differentiate,verb,adda baasuu,addaan baasuu | addaan fuuchuu,/ɐdːɐ bɑːsúː/,yes,medium,"to put apart, separate, differentiate",,,
unit-81-verbs-school,instruct,verb,eemaruu,ajajuu | himuu,/eːmɐrúː/,yes,medium,to instruct,,,
unit-81-verbs-school,educate,verb,qaroomsuu,,/ˈkʼɐroːmsúː/,no,high,"educate; train, civilize",,,
unit-81-verbs-school,tutor,verb,qayyabachiisuu,,/ˈkʼɐjːɐbɐt͡ʃiːsúː/,no,high,to tutor,,,
unit-81-verbs-school,edit,verb,gulaaluu,,/ˈɡʊlɑːlúː/,no,high,to edit,,,
unit-81-verbs-school,predict,verb,raajuu,,,no,high,to predict,,,
unit-81-verbs-school,prove,verb,gashuu,,/ˈɡɐʃúː/,no,high,"explain, inform, persuade, convince, prove",,,
unit-81-verbs-school,recognize,verb,qayyabachuu,,/ˈkʼɐjːɐbɐt͡ʃúː/,no,high,"to study, recognize",,,
