unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-82-verbs-work,create,verb,huumuu,uummachuu | kalaquu | kalquu | uumuu,/ˈhuːmúː/,no,medium,to create,,,
unit-82-verbs-work,construct,verb,dagalchuu,dagalchiisuu | dagaluu | ijaarsisuu | baabbuu,/ˈdɐɡɐlt͡ʃúː/,yes,high,"lay something horizontally, construct",,,
unit-82-verbs-work,repair,verb,suphuu,tolchuu | suphisiisuu | suphachuu,,no,medium,"to repair, fix",,,
unit-82-verbs-work,join,verb,fufuu,qarqabuu | fufsiisuu | itti baafamuu | itti fufuu,/ˈfʊfúː/,yes,high,"continue, extend, join",,,
unit-82-verbs-work,fasten,verb,cinqaarsuu,maagarachuu | maagaramuu | maagarsiisuu | maagaruu,/ˈt͡ʃʼɪnkʼɑːrsúː/,yes,high,to drive on,,,
unit-82-verbs-work,carve,verb,bocuu,soqachuu | bocsisuu | ija facaasuu,/ˈbɔt͡ʃʼúː/,yes,medium,carve,,,
unit-82-verbs-work,sharpen,verb,qaruu,qarsiifachuu | qarsiisuu | waqarachuu | waqarsiifachuu,,no,high,to sharpen,,,
unit-82-verbs-work,lift,verb,kaastoo,kaasuu | hamilee ijaaruu,/ˈkɑːstóː/,no,high,lift,,,
unit-82-verbs-work,load,verb,maammaachuu,fe'achuu | fe'uu | fe'aa | ba'aa,/ˈmɑːmːɑːt͡ʃúː/,no,medium,to load,,,
unit-82-verbs-work,manufacture,verb,oomishuu,,,no,high,"to manufacture, produce",,,
unit-82-verbs-work,assemble,verb,warshaaluu,dacha'uu | warshaalachuu | warshaalsifachuu | warshaalsisuu,/ˈwɐrʃɑːlúː/,no,medium,to assemble,,,
unit-82-verbs-work,braid,verb,dha'achuu,dhayuu | ginna baasuu,/ˈᶑɐʔɐt͡ʃúː/,yes,high,see 'dahachuu',,,
unit-82-verbs-work,forge,verb,tumuu,,,no,high,"to beat, hit, strike",,,
unit-82-verbs-work,install,verb,habaqaalchuu,,/ˈhɐbɐkʼɑːlt͡ʃúː/,no,high,to install,,,
unit-82-verbs-work,operate,verb,badhuu,,/ˈbɐᶑúː/,yes,high,to operate,,,
unit-82-verbs-work,arrange,verb,kurfeessuu,tarreeffachuu | tarreessuu,/ˈkʊrfeːsːúː/,no,high,"arrange, prepare",,,
unit-82-verbs-work,rearrange,verb,qixeessuu,,/ˈkʼɪtʼeːsːúː/,no,high,"to prepare, rearrange",,,
unit-82-verbs-work,stack,verb,guuruu,,/ˈɡuːrúː/,no,high,pile/stack,,,
unit-82-verbs-work,pile,verb,tuuluu,kuusuu | guuruu | tuulama | tuullaa,,no,medium,to pile,,,
unit-82-verbs-work,trim,verb,maaxuu,,/ˈmɑːtʼúː/,no,high,"prune branches, trim",,,
unit-82-verbs-work,tile,verb,moroduu,,/ˈmɔrɔdúː/,no,high,to tile,,,
