unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-83-verbs-talking,reply,verb,deebii,,/ˈdeːbíː/,yes,high,a party for newly- wed couple (usually by parents),,,
unit-83-verbs-talking,argue,verb,falmachuu,falmuu | qoccoluu | atakamuu | falmisiisuu,/ˈfɐlmɐt͡ʃúː/,yes,medium,"argue, contest, dispute, or litigate for self",,,
unit-83-verbs-talking,discuss,verb,mari'achuu,dudubbachuu | mari'achiisuu,/ˈmɐrɪʔɐt͡ʃúː/,no,medium,to discuss,,,
unit-83-verbs-talking,agree,verb,walta'uu,sifaa'uu | waligalchiisuu | waltaasisuu | sifaayuu,/ˈwɐltɐʔúː/,no,high,to agree,,,
unit-83-verbs-talking,disagree,verb,coqoluu,waldhabuu | walbaduu | walitti bu'uu | waldidchisiisuu,/ˈt͡ʃʼɔkʼɔlúː/,yes,medium,to disagree,,,
unit-83-verbs-talking,complain,verb,xooxeffachuu,nyaluu | itti himachuu | jimaa'uu,/ˈtʼoːtʼɛfːɐt͡ʃúː/,no,medium,to complain,,,
unit-83-verbs-talking,declare,verb,awaajessuu,labsuu | lahsiisuu | miihibuu,/ɐwɑːd͡ʒɛsːúː/,yes,medium,"proclaim, declare",,,
unit-83-verbs-talking,warn,verb,akkeekkachiisuu,beekkachiisuu | wajuu,/ɐkːeːkːɐt͡ʃiːsúː/,yes,medium,warn,,,
unit-83-verbs-talking,advise,verb,gorsuu,gorsachuu,/ˈɡɔrsúː/,no,high,advise,,,
unit-83-verbs-talking,praise,verb,faarfachuu,jajachuu | galata | faarsuu | leellisuu,/ˈfɑːrfɐt͡ʃúː/,yes,medium,sing praise song,,,
unit-83-verbs-talking,blame,verb,haalachuu,sakabuu | komachuu | itti himachuu | qabsiisuu,/ˈhɑːlɐt͡ʃúː/,no,medium,blame,,,
unit-83-verbs-talking,joke,verb,baccuu,qoosuu | qoosaa | baaccisiisuu,/ˈbɐt͡ʃʼːúː/,yes,medium,"to joke, jest (misspelled baacuu)",,,
unit-83-verbs-talking,pronounce,verb,afaaneffachuu,,/ɐfɑːnɛfːɐt͡ʃúː/,yes,high,"to pronounce, articulate words",,,
unit-83-verbs-talking,converse,verb,dudubbachuu,,/ˈdʊdʊbːɐt͡ʃúː/,yes,high,converse/discuss/talk to each other,,,
unit-83-verbs-talking,chat,verb,haasa'uu,taphachuu | qaaqa | haasofsiisuu | qaamuu,,no,medium,to chat,,,
unit-83-verbs-talking,inform,verb,beeksisuu,gashuu,/ˈbeːksɪsúː/,yes,medium,"inform, make a ware, advertise",,,
unit-83-verbs-talking,testify,verb,ragaa baw uu,,/ˈrɐɡɑː bɐw úː/,no,high,to testify,,,
unit-83-verbs-talking,rebuke,verb,ifachuu,dheekkamuu | ifachiisuu | rifaasisuu | ifaata,/ɪfɐt͡ʃúː/,no,medium,berate,,,
unit-83-verbs-talking,insult,verb,arrabsuu,arrabsoo | ga'isuu | arrabbii | arrabsiisuu,/ɐrːɐbsúː/,yes,high,to insult,,,
unit-83-verbs-talking,boast,verb,fakkaruu,ufjajuu | waaccituu | boonuu | of jajuu,/ˈfɐkːɐrúː/,yes,medium,"to boast, to brag",,,
unit-83-verbs-talking,nag,verb,kiraaruu,nyakkisuu,/ˈkɪrɑːrúː/,no,medium,to nag,,,
unit-83-verbs-talking,tease,verb,murgii,iddisiisuu,/ˈmʊrɡíː/,no,high,tease,,,
unit-83-verbs-talking,summon,verb,billittoo,aabbo | lallabsiisuu | haadha ilmaa,/ˈbɪlːɪtːóː/,yes,high,summon,,,
unit-83-verbs-talking,persuade,verb,gondoluu,amansiisuu | gashuu | gondolchuu,/ˈɡɔndɔlúː/,no,medium,licking the genitals of the calf,,,
unit-83-verbs-talking,convince,verb,amansiisuu,gashuu | amansiifachuu,/ɐmɐnsiːsúː/,yes,medium,"convince, persuade",,,
