unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-85-verbs-moving,drive,verb,hoofachuu,konkolaachisuu | oofuu | hoofsisuu | hoofuu,/ˈhoːfɐt͡ʃúː/,no,medium,drive (for one self),,,
unit-85-verbs-moving,depart,verb,addaan baduu,,/ɐdːɑːn bɐdúː/,yes,high,depart,,,
unit-85-verbs-moving,approach,verb,dhihaachuu,,/ˈᶑɪhɑːt͡ʃúː/,yes,high,"approach, come close",,,
unit-85-verbs-moving,chase,verb,ari'uu,ari'achuu | ooffachuu | gugsuu | luullessuu,/ɐrɪʔúː/,yes,medium,chase,,,
unit-85-verbs-moving,escape,verb,miliquu,dheessisuu | miliqsuu | sokkuu | dheeffuu,,no,medium,to escape,,,
unit-85-verbs-moving,roam,verb,jooruu,joorsuu | xallisuu,/ˈd͡ʒoːrúː/,no,high,"wander, exhaustively, roam",,,
unit-85-verbs-moving,wander,verb,fandalaluu,joorsuu | jooruu | xallisuu | xallisa,/ˈfɐndɐlɐlúː/,yes,medium,"to wander, to tramp",,,
unit-85-verbs-moving,creep,verb,loowuu,loosuu | daa' imuu,/ˈloːwúː/,no,high,to crawl/ creep,,,
unit-85-verbs-moving,sneak,verb,qassisuu,luuxuu,/ˈkʼɐsːɪsúː/,no,high,to sneak,,,
unit-85-verbs-moving,leap,verb,olutaaluu,,/ɔlʊtɑːlúː/,no,high,"to jump, leap",,,
unit-85-verbs-moving,sprint,verb,magarsuu,,/ˈmɐɡɐrsúː/,no,high,sprint,,,
unit-85-verbs-moving,march,verb,Bitootessa,hiriiruu | hiriirsuu,/ˈbɪtoːtɛsːɐ/,yes,medium,March,,,
unit-85-verbs-moving,descend,verb,gaddeemuu,irra qubachuu | buufamuu | irraa buusuu,/ˈɡɐdːeːmúː/,no,high,"to shrink down, to descend",,,
unit-85-verbs-moving,rise,verb,ka'uu,ba'a aduu | baha aduu,/ˈkɐ́ʔuː/,no,high,"to get up, rise",,,
unit-85-verbs-moving,drift,verb,haffalaawuu,,/ˈhɐfːɐlɑːwúː/,no,high,drift,,,
unit-85-verbs-moving,float,verb,bololiyuu,,/ˈbɔlɔlɪjúː/,yes,high,float,,,
unit-85-verbs-moving,soar,verb,murxuxaa'uu,,/ˈmʊrtʼʊtʼɑːʔúː/,no,high,to be thrown,,,
unit-85-verbs-moving,hover,verb,golboobuu,arraabkosii,/ˈɡɔlboːbúː/,no,high,"shield, hover",,,
unit-85-verbs-moving,plunge,verb,cuubuu,cuubsisuu,/ˈt͡ʃʼuːbúː/,yes,medium,dip/ sop/ plunge,,,
unit-85-verbs-moving,stumble,verb,heewasuu,gufachuu | gufachisuu,/ˈheːwɐsúː/,no,medium,stumble,,,
unit-85-verbs-moving,slide,verb,foqoquu,sigigaachuu | mucuca | foqoqsiisuu | loosisuu,/ˈfɔkʼɔkʼúː/,yes,medium,"slide, to move from place to place on buttock",,,
unit-85-verbs-moving,slip,verb,salolaasuu,sigiggeessuu | mucucaachuu | salolaachuu | sigigaachuu,/ˈsɐlɔlɑːsúː/,no,medium,slip,,,
