unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-86-verbs-giving,receive,verb,qeebaluu,ufittifudhachuu | fudhachuu | haakkamsiisuu | simachuu,/ˈkʼeːbɐlúː/,no,medium,receive,,,
unit-86-verbs-giving,accept,verb,taraduu,fudhachuu,/ˈtɐrɐdúː/,no,high,"accept, be resigned to",,,
unit-86-verbs-giving,refuse,verb,diduu,buquqaa | huuba | gataa | dhoowwachuu,/ˈdɪ́duː/,yes,high,"to decline, refuse",,,
unit-86-verbs-giving,owe,verb,hunjooma,,/ˈhʊnd͡ʒoːmɐ/,no,high,owe,,,
unit-86-verbs-giving,collect,verb,cimmisuu,funaannachuu | sassaabuu | walitti qabuu | asxeessuu,/ˈt͡ʃʼɪmːɪsúː/,yes,medium,accumulate/collect/gather,,,
unit-86-verbs-giving,gather,verb,buyuu,buwuu | cimmisuu | coccoruu | dacha'uu,/ˈbʊjúː/,yes,medium,"pick, pick up, reap",,,
unit-86-verbs-giving,drop,verb,arcaasuu,bubuusuu | cobuu | xufxufa | taaffee,/ɐrt͡ʃʼɑːsúː/,yes,medium,to drop,,,
unit-86-verbs-giving,exchange,verb,geeddaruu,sharafuu | geeddara | geeddarsa | waljijjiirsisuu,,no,medium,to exchange,,,
unit-86-verbs-giving,donate,verb,baalchuu,utubachuu | raamatuu | raamachuu,/ˈbɑːlt͡ʃúː/,yes,high,to donate,,,
unit-86-verbs-giving,deliver,verb,dhaluu,,/ˈᶑɐlúː/,yes,high,"give birth to, deliver",,,
unit-86-verbs-giving,supply,verb,dhidhiyeessuu,dhiheessuu | daara baasuu,/ˈᶑɪᶑɪjeːsːúː/,yes,medium,to supply,,,
unit-86-verbs-giving,provide,verb,dhiheessuu,dhaleessuu | bohaarsuu | kaleessuu | kaajoo baasuu,/ˈᶑɪheːsːúː/,yes,medium,to supply,,,
unit-86-verbs-giving,purchase,verb,bichiisuu,bittaa,/ˈbɪt͡ʃiːsúː/,yes,medium,cause to buy/ purchase,,,
unit-86-verbs-giving,acquire,verb,heluu,horachuu,/ˈhɛlúː/,no,medium,to acquire,,,
unit-86-verbs-giving,inherit,verb,dhaaluu,,/ˈᶑɑːlúː/,yes,high,to inherit,,,
unit-86-verbs-giving,forfeit,verb,sarbamuu,,/ˈsɐrbɐmúː/,no,high,forfeit,,,
unit-86-verbs-giving,surrender,verb,jilbeeffachuu,jilbeenfachisuu,/ˈd͡ʒɪlbeːfːɐt͡ʃúː/,no,high,1 .kneel (down) submit,,,
unit-86-verbs-giving,reserve,verb,of qusachuu,horeessuu | samsuu | ol kaa'uu,/ɔf kʼʊsɐt͡ʃúː/,no,high,reserve,,,
unit-86-verbs-giving,spare,verb,baraaruu,qaamajii | jijjiirraa meeshaa,/ˈbɐrɑːrúː/,yes,high,have mercy up on (by God),,,
unit-86-verbs-giving,fetch,verb,waraabuu,waraabachuu | waraabsisuu | waraabsifachuu,/ˈwɐrɑːbúː/,no,high,"to fetch, to take blood for examination",,,
unit-86-verbs-giving,haul,verb,tohuu,darbuu,/ˈtɔhúː/,no,high,"haul, draw water from river",,,
unit-86-verbs-giving,transfer,verb,dabarsisiisuu,jijjiiramuu | jijjiirraa | garagalchisuu | garagalfachuu,/ˈdɐbɐrsɪsiːsúː/,yes,medium,make cause to pass/transfer,,,
