unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-87-verbs-helping,protect,verb,hayaachuu,eeguu | dalasuu | irraa eeguu | egsisuu,/ˈhɐjɑːt͡ʃúː/,no,medium,to protect,,,
unit-87-verbs-helping,defend,verb,qoluu,lolachuu,/ˈkʼɔlúː/,no,high,"defend, hit back the thrown club with one's own club",,,
unit-87-verbs-helping,save,verb,qabachuu,keeyyachuu | hambisuu | qusii | ambifachuu,/ˈkʼɐbɐt͡ʃúː/,no,medium,form or develop,,,
unit-87-verbs-helping,feed,verb,nyaachisuu,soorachuu | dangaloo | waga'uu | bishaan dhuksisuu,/ˈɲɑːt͡ʃɪsúː/,no,high,feed,,,
unit-87-verbs-helping,encourage,verb,onneessuu,onnachiisuu | onnoomsuu | gootomsuu | waljabeessuu,/ɔnːeːsːúː/,no,medium,to encourage,,,
unit-87-verbs-helping,support,verb,deeggeruu,deeggarsa | utubuu | hirkisa | deeggera,/ˈdeːɡːɛrúː/,yes,medium,to help/support,,,
unit-87-verbs-helping,mind,verb,qaroo,seesuu | kutachuu | qalbii,/ˈkʼɐróː/,no,high,one yoke of oxen as a team,,,
unit-87-verbs-helping,accompany,verb,waalessuu,tumsuu | amaamota | hamaamota,/ˈwɑːlɛsːúː/,no,medium,accompany,,,
unit-87-verbs-helping,forgive,verb,atoomuu,haagii baasuu | aagii tufuu,/ɐtoːmúː/,yes,high,"forgive, excuse",,,
unit-87-verbs-helping,assist,verb,gargaarsisuu,tumsuu | gumaawuu | deessisuu,/ˈɡɐrɡɑːrsɪsúː/,no,medium,initiate to help/ assist,,,
unit-87-verbs-helping,aid,verb,hirphuu,nafaquu | gargaaruu | deeggera | hirpha,/ˈhɪrpʼúː/,no,medium,aid/ help/ upport,,,
unit-87-verbs-helping,nurture,verb,dagaagsuu,,/ˈdɐɡɑːɡsúː/,yes,high,"nourish, nurture, make to grow",,,
unit-87-verbs-helping,soothe,verb,abaabbaluu,sossobuu | abaabbala | hurursuu,/ɐbɑːbːɐlúː/,yes,medium,"to soothe, to coax",,,
unit-87-verbs-helping,tend,verb,ittisiisuu,badadachuu | tiksiisuu | hiribbii,/ɪtːɪsiːsúː/,no,high,"cause to make guard, tend",,,
unit-87-verbs-helping,supervise,verb,to'achuu,,/ˈtɔʔɐt͡ʃúː/,no,high,control/supervise/audit,,,
unit-87-verbs-helping,uphold,verb,utubuu,,/ʊtʊbúː/,no,high,"support, uphold, uplift",,,
unit-87-verbs-helping,obey,verb,abboomamuu,sarmuu,/ɐbːoːmɐmúː/,yes,high,to obey,,,
unit-87-verbs-helping,honour,verb,ulfeessuu,,/ʊlfeːsːúː/,no,high,to honour,,,
