unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-88-verbs-cooking,roast,verb,agaalabuu,akaawuu | kalaankaluu | waxaluu | kolla'uu,/ɐɡɑːlɐbúː/,yes,medium,to roast,,,
unit-88-verbs-cooking,stir,verb,bulbuluu,chochoosuu | erbuu | irbachuu | irbisiisuu,/ˈbʊlbʊlúː/,yes,medium,make mead by mixing honey with water and other ingredient,,,
unit-88-verbs-cooking,mix,verb,makachuu,arraabsisuu | bulbulachuu | bulbulchiisuu | bulbuluu,/ˈmɐkɐt͡ʃúː/,no,high,to mix,,,
unit-88-verbs-cooking,knead,verb,laaqii,bukeeffachuu,/ˈlɑːkʼíː/,no,high,knead,,,
unit-88-verbs-cooking,serve,verb,tajaajiluu,dhiyeeffachuu | kaaddamuu | keessummeessuu | ari'amuu,,no,medium,to serve,,,
unit-88-verbs-cooking,scrub,verb,shukkuumuu,,/ˈʃʊkːuːmúː/,no,high,"scrub, to rub",,,
unit-88-verbs-cooking,wipe,verb,haxaa'uu,haqsiisuu | mashaquu | haqachuu | haquu,,no,high,"to wipe, rub clean",,,
unit-88-verbs-cooking,rinse,verb,lola'uu,,/ˈlɔlɐʔúː/,no,high,rinse,,,
unit-88-verbs-cooking,dry,verb,qoshoruu,daalachaa'uu | hongessuu | qooruu | gogeessa,/ˈkʼɔʃɔrúː/,no,medium,dry,,,
unit-88-verbs-cooking,brew,verb,naquu,farsoo naquu | unkuramuu | unkursiisuu | ashaaroo,/ˈnɐkʼúː/,no,high,brew,,,
unit-88-verbs-cooking,churn,verb,raafachuu,raasuu | orfoo | cukaasuu | cuqaafachuu,/ˈrɑːfɐt͡ʃúː/,no,medium,churn (for oneself),,,
unit-88-verbs-cooking,mince,verb,kochisuu,,/ˈkɔt͡ʃɪsúː/,no,high,"to mince, chop usually meat",,,
unit-88-verbs-cooking,sift,verb,dhimbiibuu,meemessuu | gingilchuu | soramuu | qulleessuu,/ˈᶑɪmbiːbúː/,yes,medium,"strain, purify, filter",,,
unit-88-verbs-cooking,soak,verb,laaffisuu,dhuubachuu | dhuubamuu | dhuubsisuu,/ˈlɑːfːɪsúː/,no,high,cause to be wet,,,
unit-88-verbs-cooking,sprinkle,verb,tooyuu,firfirsuu,/ˈtoːjúː/,no,high,to sprinkle/ drain away,,,
unit-88-verbs-cooking,squeeze,verb,cimmiiguu,cunfuu | futuruquu | cuunfuu | kokotteessuu,/ˈt͡ʃʼɪmːiːɡúː/,yes,medium,to squeeze,,,
unit-88-verbs-cooking,spill,verb,dhangalaasuu,itti jiksamuu | jiksuu | gadinaqsisuu | jiksiisuu,/ˈᶑɐnɡɐlɑːsúː/,yes,high,"spill (liquid, grain ...)",,,
unit-88-verbs-cooking,melt,verb,baquu,baksuu | babbaquu | baqfachuu | baqsiisuu,/ˈbɐkʼúː/,yes,medium,melt,,,
unit-88-verbs-cooking,freeze,verb,cabbeessuu,,/ˈt͡ʃʼɐbːeːsːúː/,yes,high,"to freeze, to cool",,,
unit-88-verbs-cooking,burn,verb,gubuu,gugguhuu | balalachuu | daara'uu | ciincessuu,/ˈɡʊbúː/,no,medium,burn,,,
unit-88-verbs-cooking,dilute,verb,callaabbessuu,areerrachuu,/ˈt͡ʃʼɐlːɑːbːɛsːúː/,yes,high,to dilute,,,
unit-88-verbs-cooking,munch,verb,qarxamsuu,,/ˈkʼɐrtʼɐmsúː/,no,high,munch,,,
unit-88-verbs-cooking,suck,verb,roocuu,luuguu | bakkisuu | xuuxuu | hootuu,/ˈroːt͡ʃʼúː/,no,medium,suck,,,
unit-88-verbs-cooking,stuff,verb,bujugsuu,bujuu | uggursiisuu,/ˈbʊd͡ʒʊɡsúː/,yes,high,to stuff,,,
