unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-89-verbs-growing,thresh,verb,ayiduu,cagadachuu | dhahuu | dhahicha,/ɐjɪdúː/,yes,medium,thresh,,,
unit-89-verbs-growing,winnow,verb,calleessuu,qoorbawuu | soramuu | qulleessuu | calleeffachuu,/ˈt͡ʃʼɐlːeːsːúː/,yes,medium,to winnow,,,
unit-89-verbs-growing,breed,verb,horuu,qomoo | horsisuu | horfuu | hiribbii,/ˈhɔrúː/,no,high,"breed, raise",,,
unit-89-verbs-growing,hatch,verb,yaasuu,ammachiisuu,/ˈjɑːsúː/,no,high,pour out,,,
unit-89-verbs-growing,ripen,verb,gormuu,,/ˈɡɔrmúː/,no,high,to ripen (of grain fruits),,,
unit-89-verbs-growing,blossom,verb,daraaruu,lalisuu | gadhafuu | daraaraa,/ˈdɐrɑːrúː/,yes,medium,"blossom, tassel, or flower",,,
unit-89-verbs-growing,wither,verb,coolaguu,qummisi,/ˈt͡ʃʼoːlɐɡúː/,yes,medium,"droop, wither, or wilt",,,
unit-89-verbs-growing,irrigate,verb,maagadaa obaasuu,,/ˈmɑːɡɐdɑː ɔbɑːsúː/,no,high,irrigate,,,
unit-89-verbs-growing,prune,verb,qeexxa'uu,kumkumuu | maaxuu,/ˈkʼeːtʼːɐʔúː/,no,high,prune,,,
unit-89-verbs-growing,spray,verb,qaanqessuu,biiffachuu | ramsuu,/ˈkʼɑːnkʼɛsːúː/,no,high,"to spray, make to emit sparks",,,
unit-89-verbs-growing,sprout,verb,biqilchiisuu,biqiluu | marguu | quqummaaduu | margisiisuu,/ˈbɪkʼɪlt͡ʃiːsúː/,yes,medium,cause some body to germinate/sprout,,,
unit-89-verbs-growing,fade,verb,haqachuu,ifachuu,/ˈhɐkʼɐt͡ʃúː/,no,high,release the colour it is dyed in/fade,,,
unit-89-verbs-growing,wilt,verb,laabba'uu,lapha'uu | soolloguu | coolaga | laabbeessuu,/ˈlɑːbːɐʔúː/,no,medium,wilt,,,
unit-89-verbs-growing,rot,verb,raamma'uu,tortoruu,,no,medium,"to rot, decay",,,
unit-89-verbs-growing,multiply,verb,baay'isuu,babaay'isuu | baay'ifachuu,/ˈbɑːjʔɪsúː/,yes,medium,to multiply,,,
unit-89-verbs-growing,reproduce,verb,waldhaluu,,/ˈwɐlᶑɐlúː/,no,high,to reproduce,,,
unit-89-verbs-growing,scatter,verb,facaasuu,timsuu | firfirsuu | tamsaasuu | tamsa'uu,/ˈfɐt͡ʃʼɑːsúː/,yes,medium,to sow seeds,,,
