unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-90-verbs-playing,relax,verb,bashananuu,bashaaduu | bashannanuu | cillaaffachiisuu,/ˈbɐʃɐnɐnúː/,yes,medium,to relax (misspelled bashannanuu),,,
unit-90-verbs-playing,win,verb,mo'achuu,mohuu | mo'uu | hinjifachuu | irra'aanuu,/ˈmɔʔɐt͡ʃúː/,no,medium,win,,,
unit-90-verbs-playing,compete,verb,dorgomsisuu,morkuu | dorgomuu | walmorkachuu | walmorkisiisuu,/ˈdɔrɡɔmsɪsúː/,yes,high,to compete,,,
unit-90-verbs-playing,celebrate,verb,ayyaaneffachuu,kabajachuu,/ɐjːɑːnɛfːɐt͡ʃúː/,yes,high,"celebrate, celebrate a holiday",,,
unit-90-verbs-playing,clap,verb,harka dhawuu,,/ˈhɐrkɐ ᶑɐwúː/,no,high,clap,,,
unit-90-verbs-playing,enjoy,verb,booharuu,itti gammaduu | bashannanuu,/ˈboːhɐrúː/,yes,medium,"enjoy, satisfy",,,
unit-90-verbs-playing,wink,verb,libsachiisuu,libsachuu | libsuu | liphsuu | ija qishuu,/ˈlɪbsɐt͡ʃiːsúː/,no,medium,"cause to blink, wink",,,
unit-90-verbs-playing,hug,verb,hammachuu,hammachiisuu | ammachuu,,no,medium,to hug,,,
unit-90-verbs-playing,sway,verb,roogqisuu,daaquu | daaqsuu | leephisuu | leephisiisuu,/ˈroːɡkʼɪsúː/,no,medium,to sway,,,
unit-90-verbs-playing,roll,verb,gangalachuu,konkolaachuu | maruu | naannessuu | gangalachiisuu,/ˈɡɐnɡɐlɐt͡ʃúː/,no,medium,"roll, i.e., turn about (donkeys, horses, etc.)",,,
unit-90-verbs-playing,splash,verb,bocorroquu,borcuu,/ˈbɔt͡ʃʼɔrːɔkʼúː/,yes,medium,slop about in puddle or water/ splash,,,
unit-90-verbs-playing,entertain,verb,feca'uu,bohaarsuu | mukuu baasuu | bashannanuu | walkeessummeessuu,/ˈfɛt͡ʃʼɐʔúː/,yes,medium,to entertain,,,
unit-90-verbs-playing,amaze,verb,raajeffachuu,bakaksuu | maalalfachuu,/ˈrɑːd͡ʒɛfːɐt͡ʃúː/,no,medium,to for tell,,,
unit-90-verbs-playing,glow,verb,finiinsuu,ramaca | xiifoo,/ˈfɪniːnsúː/,yes,high,glow,,,
unit-90-verbs-playing,wobble,verb,sochoosuu,,/ˈsɔt͡ʃoːsúː/,no,high,"budge, wobble",,,
unit-90-verbs-playing,dribble,verb,logoguu,gororuu,/ˈlɔɡɔɡúː/,no,high,dribble,,,
