unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-91-time-more,moment,noun,mil'ata,seega | mil'achuu,/ˈmɪlʔɐtɐ/,no,high,"aspiit second, moment",,,
unit-91-time-more,century,noun,jaarraa,,,no,high,century,,,
unit-91-time-more,monday,noun,wiixatee,Wiixata,/ˈwiːtʼɐtéː/,no,high,monday (name of market day),,,
unit-91-time-more,tuesday,noun,facaasaa,Kibxata,/ˈfɐt͡ʃʼɑːsɑ́ː/,yes,medium,see 'Kibxata',,,
unit-91-time-more,wednesday,noun,roobii,Roobbii,/ˈroːbíː/,no,medium,Wednesday,,,
unit-91-time-more,friday,noun,arbaa,Jimmata,/ɐrbɑ́ː/,yes,high,Friday,,,
unit-91-time-more,future,noun,durana,waahimaa | bulfachuu | fuulduratti,/ˈdʊrɐnɐ/,yes,high,future,,,
unit-91-time-more,duration,noun,hagamtaa,safii,/ˈhɐɡɐmtɑ́ː/,no,high,duration,,,
unit-91-time-more,period,noun,laguu,mosina | tuqaa | gannoo | majisa,/ˈlɐɡúː/,no,medium,menstruation/period,,,
unit-91-time-more,phase,noun,murneessuu,sadarkaa guddinaa,/ˈmʊrneːsːúː/,no,medium,phase,,,
unit-91-time-more,sequence,noun,tartiibessa,,/ˈtɐrtiːbɛsːɐ/,no,high,sequence,,,
unit-91-time-more,eternity,noun,baraabarummaa,jireenya bara baraa,/ˈbɐrɑːbɐrʊmːɑ́ː/,yes,high,"eternity, perpetuation",,,
unit-91-time-more,eve,noun,jalbultii,hacamooyyaa,/ˈd͡ʒɐlbʊltíː/,no,high,eve,,,
unit-91-time-more,continuation,noun,fufinsa,itti fufiinsa,/ˈfʊfɪnsɐ/,yes,high,"continuous, continuation,",,,
