unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-92-music-art,singing,noun,wallee,gamaama,/ˈwɐlːéː/,no,high,"singing, song",,,
unit-92-music-art,dancing,noun,soolana,dhiichisa | jeekkara | ajoo | yeekkaruu,/ˈsoːlɐnɐ/,no,medium,dancing,,,
unit-92-music-art,guitar,noun,gitaara,guungumaa,/ˈɡɪtɑːrɐ/,no,high,guitar,,,
unit-92-music-art,harp,noun,baganaa,,/ˈbɐɡɐnɑ́ː/,yes,high,harp,,,
unit-92-music-art,trumpet,noun,fiingee,tultullaa | xurumbaa | faaggaa,/ˈfiːnɡéː/,yes,medium,trumpet,,,
unit-92-music-art,piano,noun,piyaanoo,,/ˈpɪjɑːnóː/,no,high,piano,,,
unit-92-music-art,rhythm,noun,dhawwisoo,yeedalloo,/ˈᶑɐwːɪsóː/,yes,medium,rhythm,,,
unit-92-music-art,chorus,noun,bustotaa,,/ˈbʊstɔtɑ́ː/,yes,high,chorus,,,
unit-92-music-art,stage,noun,sadarkaa,dabballee | foollee | jambalii | raaba,/ˈsɐdɐrkɑ́ː/,no,high,"stage ,step",,,
unit-92-music-art,theatre,noun,tiyaatira,,/ˈtɪjɑːtɪrɐ/,no,high,theatre/ show,,,
unit-92-music-art,actor,noun,taatoo,tiyaatiraa | tiyaatirtuu,/ˈtɑːtóː/,no,medium,actor,,,
unit-92-music-art,gallery,noun,kuusfaaya,,/ˈkuːsfɑːjɐ/,no,high,gallery,,,
unit-92-music-art,accordion,noun,lommooxoo,,/ˈlɔmːoːtʼóː/,no,high,accordion,,,
unit-92-music-art,carving,noun,soqa,soqaa | gojomii,/ˈsɔkʼɐ/,no,medium,"search, quest, digging, carving",,,
unit-92-music-art,poster,noun,poostarii,,/ˈpoːstɐríː/,no,high,poster,,,
unit-92-music-art,animation,noun,sochii fakkinaa,,/ˈsɔt͡ʃiː fɐkːɪnɑ́ː/,no,high,animation,,,
unit-92-music-art,drama,noun,waacila,,/ˈwɑːt͡ʃʼɪlɐ/,no,high,drama.,,,
unit-92-music-art,spectacle,noun,argalamee,fulaa ijaa,/ɐrɡɐlɐméː/,yes,high,"eyeglass, spectacle",,,
unit-92-music-art,studio,noun,istuudiyoo,,/ɪstuːdɪjóː/,no,high,studio,,,
unit-92-music-art,octave,noun,irsaga,,/ɪrsɐɡɐ/,no,high,octave,,,
