unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-93-story-book,tale,noun,oddirii,aabboo guddaa,/ɔdːɪríː/,no,high,tale,,,
unit-93-story-book,tales,noun,durdurii,mammaakamuu,/ˈdʊrdʊríː/,yes,high,"story, tales, fable",,,
unit-93-story-book,folklore,noun,afoola,,/ɐfoːlɐ/,yes,high,folklore,,,
unit-93-story-book,rhyme,noun,meegaraa,,/ˈmeːɡɐrɑ́ː/,no,high,rhyme,,,
unit-93-story-book,newspaper,noun,gaazexaa,magalata,,no,high,newspaper,,,
unit-93-story-book,magazine,noun,barruulee,,/ˈbɐrːuːléː/,yes,high,magazine,,,
unit-93-story-book,report,noun,gabaasa,gabaasuu | gabaasisuu | haftee gabaasaa,/ˈɡɐbɑːsɐ/,no,high,report,,,
unit-93-story-book,bibliography,noun,macaafa wabii,,/ˈmɐt͡ʃʼɑːfɐ wɐbíː/,no,high,bibliography,,,
unit-93-story-book,catalogue,noun,lakkamidaa,,/ˈlɐkːɐmɪdɑ́ː/,no,high,catalogue,,,
unit-93-story-book,pseudonym,noun,maqsobee,,/ˈmɐkʼsɔbéː/,no,high,pseudonym,,,
unit-93-story-book,biography,noun,seenjiree,,/ˈseːnd͡ʒɪréː/,no,high,"biography, memories",,,
unit-93-story-book,nonfiction,noun,alasoosama,,/ɐlɐsoːsɐmɐ/,yes,high,nonfiction,,,
unit-93-story-book,revision,noun,irra deebii,keessa deebii,/ɪrːɐ deːbíː/,no,medium,revision,,,
unit-93-story-book,summary,noun,xumura,goolaba | goolabbii | guduunfaa,,no,medium,summary,,,
unit-93-story-book,preface,noun,ariirrata,,/ɐriːrːɐtɐ/,yes,high,preface,,,
