unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-94-country,government,noun,mootummaa,adulaa,,no,high,government,,,
unit-94-country,president,noun,pirezidaantii,,/ˈpɪrɛzɪdɑːntíː/,no,high,president,,,
unit-94-country,parliament,noun,paarlaamaa,parlaamaa | caffee,/ˈpɑːrlɑːmɑ́ː/,yes,medium,parliament,,,
unit-94-country,election,noun,filannoo,,/ˈfɪlɐnːóː/,yes,high,election,,,
unit-94-country,citizenship,noun,lammummaa,,/ˈlɐmːʊmːɑ́ː/,no,high,citizenship,,,
unit-94-country,mayor,noun,kantiibaa,,,no,high,mayor,,,
unit-94-country,governor,noun,bulchaa,,/ˈbʊlt͡ʃɑ́ː/,yes,high,governor,,,
unit-94-country,flag,noun,alaabaa,faaijii,/ɐlɑːbɑ́ː/,yes,medium,"flag, banner",,,
unit-94-country,capital,noun,dilbeeta,dilbii | jijjigaa | quca | qadhaaba,/ˈdɪlbeːtɐ/,yes,medium,capital (accumulated),,,
unit-94-country,region,noun,naannoo,baqqoo | illee | jijjigaa | sadacha,/ˈnɑːnːóː/,no,high,"region ,surroundings,",,,
unit-94-country,province,noun,konyaa,koonyaa | magaalaa konyaa,/ˈkɔɲɑ́ː/,no,medium,province,,,
unit-94-country,territory,noun,dimbara,daarii | lafayyaa,/ˈdɪmbɐrɐ/,yes,medium,"boundary, territory",,,
unit-94-country,monarchy,noun,mootii moototaa,,/ˈmoːtiː moːtɔtɑ́ː/,no,high,monarchy,,,
unit-94-country,empire,noun,isximaara,,/ɪstʼɪmɑːrɐ/,no,high,"empire, a political unit ruled by an emperor or empress.",,,
unit-94-country,kingdom,noun,mootoma,,/ˈmoːtɔmɐ/,no,high,kingdom,,,
unit-94-country,federation,noun,atooma,,/ɐtoːmɐ/,yes,high,appease,,,
unit-94-country,constitution,noun,heera,heera diinaa | heera odaa | sifaayuu,/ˈheːrɐ/,no,high,constitution,,,
unit-94-country,delegation,noun,iddoommii,,/ɪdːoːmːíː/,no,high,delegation,,,
unit-94-country,embargo,noun,aguurtoo,uggurtii | ugguruu,/ɐɡuːrtóː/,yes,medium,embargo,,,
unit-94-country,militia,noun,milishaa,duultuu,/ˈmɪlɪʃɑ́ː/,no,high,militia,,,
unit-94-country,navy,noun,humna galaanaa,,/ˈhʊmnɐ ɡɐlɑːnɑ́ː/,no,high,navy,,,
unit-94-country,army,noun,raayyaa,ijaaba | cibroo | lolchiisaa,,no,medium,army,,,
unit-94-country,sovereignty,noun,olaantoo,,/ɔlɑːntóː/,no,high,sovereignty,,,
