unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-95-right-wrong,injustice,noun,xuurii,,/ˈtʼuːríː/,no,high,"unfair, unjust, sin, injustice",,,
unit-95-right-wrong,crime,noun,wanjala,yakka | adamsaa yakkaa | wanjalchiisuu | yakkamuu,/ˈwɐnd͡ʒɐlɐ/,no,medium,crime,,,
unit-95-right-wrong,robber,noun,gaadduu,,/ˈɡɑːdːúː/,no,high,spy,,,
unit-95-right-wrong,trial,noun,yaalii,,/ˈjɑːlíː/,no,high,"trial, attempt",,,
unit-95-right-wrong,witness,noun,himmaanyii,immanyii | abaayii | dhugaa baasuu | ragaa,/ˈhɪmːɑːɲíː/,no,medium,witness,,,
unit-95-right-wrong,evidence,noun,ragaa,ragaa barruu,/ˈrɐɡɑ́ː/,no,high,"evidence, proof witness",,,
unit-95-right-wrong,permission,noun,eeyyama,eeyyamtummaa | hayyama | hayyamsifachuu | hayyamsiisuu,/eːjːɐmɐ/,yes,medium,permission,,,
unit-95-right-wrong,responsibility,noun,ba'aa,ittigaafatamummaa,/ˈbɐʔɑ́ː/,yes,high,load,,,
unit-95-right-wrong,fairness,noun,hoosummaa,sirrummaa,/ˈhoːsʊmːɑ́ː/,no,medium,"meanness, fairness",,,
unit-95-right-wrong,verdict,noun,murtii kennaa,,/ˈmʊrtiː kɛnːɑ́ː/,no,high,last judgment/verdict,,,
unit-95-right-wrong,tribunal,noun,mana murtii,,/ˈmɐnɐ mʊrtíː/,no,high,tribunal,,,
unit-95-right-wrong,custody,noun,mana adabaa,,/ˈmɐnɐ ɐdɐbɑ́ː/,no,high,"jail, custody",,,
unit-95-right-wrong,pardon,noun,onfii,maaruu | tufsiifachuu | dhiisuu,/ɔnfíː/,no,high,"excuse, pardon",,,
unit-95-right-wrong,parole,noun,sharxii,,/ˈʃɐrtʼíː/,no,high,precondition,,,
unit-95-right-wrong,defendant,noun,himatamaa,,/ˈhɪmɐtɐmɑ́ː/,no,high,defendant,,,
unit-95-right-wrong,prosecutor,noun,abbaalangee,,/ɐbːɑːlɐnɡéː/,yes,high,prosecutor,,,
unit-95-right-wrong,jury,noun,salganee,shanacha,,no,medium,jury,,,
unit-95-right-wrong,oath,noun,kakaa,tumata | magantaa | magaanteftachuu | du'i!,/ˈkɐkɑ́ː/,no,medium,oath,,,
unit-95-right-wrong,testimony,noun,dhaga-baatii,,/ˈᶑɐɡɐ-bɑːtíː/,yes,high,testimony,,,
unit-95-right-wrong,robbery,noun,saamicha,,/ˈsɑːmɪt͡ʃɐ/,no,high,robbery,,,
unit-95-right-wrong,slander,noun,arrabbii,hamii | hamachuu,/ɐrːɐbːíː/,yes,medium,"insult, slander",,,
unit-95-right-wrong,conviction,noun,murtii seeraa,,/ˈmʊrtiː seːrɑ́ː/,no,high,"conviction, verdcit",,,
unit-95-right-wrong,imprisonment,noun,hidhaa,,,no,high,imprisonment,,,
