unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-96-science,history,noun,maraara,seenaa | seendurii | seenofii | seenessuu,/ˈmɐrɑːrɐ/,no,medium,history,,,
unit-96-science,research,noun,qu'annoo,qormaata | qorannoo | qo'annoo | qorannaa,/ˈkʼʊʔɐnːóː/,no,medium,research,,,
unit-96-science,hypothesis,noun,aadbuura,maldhawinsa | mala dhawuu,/ɑːdbuːrɐ/,yes,medium,hypothesis,,,
unit-96-science,observation,noun,do'acha,hubacha | qalbiifannaa | ilaallachuu | irra deeb'uu,/ˈdɔʔɐt͡ʃɐ/,yes,medium,observation,,,
unit-96-science,discovery,noun,argannoo,,/ɐrɡɐnːóː/,yes,high,"innovation, discovery, finding",,,
unit-96-science,invention,noun,kalaqa,,/ˈkɐlɐkʼɐ/,no,high,invention,,,
unit-96-science,matter,noun,wanta,miciree | millamilcha | nafadii | horooma,/ˈwɐntɐ/,yes,high,"somethin, matter, substance",,,
unit-96-science,gravity,noun,harkisa,,/ˈhɐrkɪsɐ/,no,high,gravity,,,
unit-96-science,magnet,noun,maagneeta,,/ˈmɑːɡneːtɐ/,no,high,magnet,,,
unit-96-science,electricity,noun,korreentii,,/ˈkɔrːeːntíː/,no,high,electricity,,,
unit-96-science,equation,noun,gitoo,,/ˈɡɪtóː/,no,high,equation,,,
unit-96-science,denominator,noun,wajjoo,jalaantoo see,/ˈwɐd͡ʒːóː/,no,high,denominator,,,
unit-96-science,diameter,noun,diyaameetira,,/ˈdɪjɑːmeːtɪrɐ/,yes,high,diameter,,,
unit-96-science,polygon,noun,dallama,rog danee,/ˈdɐlːɐmɐ/,yes,high,polygon,,,
unit-96-science,proton,noun,pirotoonii,,/ˈpɪrɔtoːníː/,no,high,proton,,,
unit-96-science,magnetism,noun,maagneetummaa,,/ˈmɑːɡneːtʊmːɑ́ː/,no,high,magnetism,,,
unit-96-science,friction,noun,rigdoo,ichima buusuu,/ˈrɪɡdóː/,no,high,friction,,,
unit-96-science,equilibrium,noun,gitatoo,,/ˈɡɪtɐtóː/,no,high,equilibrium,,,
unit-96-science,evolution,noun,tirannoo,xiinjecha,/ˈtɪrɐnːóː/,no,high,evolution,,,
unit-96-science,ecosystem,noun,sirnakkoo,,,no,high,ecosystem,,,
unit-96-science,anatomy,noun,dhaaqama,,/ˈᶑɑːkʼɐmɐ/,yes,high,anatomy,,,
unit-96-science,diffusion,noun,tamsa'ii,,/ˈtɐmsɐʔíː/,no,high,diffusion,,,
unit-96-science,compression,noun,summuuga,,/ˈsʊmːuːɡɐ/,no,high,compression,,,
