unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-97-measuring,metre,noun,meetirii,,/ˈmeːtɪríː/,no,high,metre,,,
unit-97-measuring,liter,noun,liitiroo,,/ˈliːtɪróː/,no,high,liter,,,
unit-97-measuring,ton,noun,toonii,fotoqsiisuu,/ˈtoːníː/,no,high,ton,,,
unit-97-measuring,inch,noun,inchii,,/ɪnt͡ʃíː/,no,high,inch,,,
unit-97-measuring,pressure,noun,dhiibbaa,dhawwaqsituu | dayya'uu,/ˈᶑiːbːɑ́ː/,yes,high,"pressure, treated pressure",,,
unit-97-measuring,volume,noun,jildii,hammamtaa sagalee | boffee | shaa jechuu,/ˈd͡ʒɪldíː/,no,high,volume (of publication),,,
unit-97-measuring,velocity,noun,ardoo,,/ɐrdóː/,yes,high,velocity,,,
unit-97-measuring,density,noun,rukina,rukkina,/ˈrʊkɪnɐ/,no,medium,density,,,
unit-97-measuring,quality,noun,waandansaa,cibra | saabbaa | immiruu | qarreessuu,,no,medium,quality,,,
unit-97-measuring,average,noun,walakkeessa,,/ˈwɐlɐkːeːsːɐ/,no,high,"average, mean",,,
unit-97-measuring,sample,noun,eddattoo,iddattoo,/ɛdːɐtːóː/,yes,medium,sample,,,
unit-97-measuring,balance,noun,deebisa,orco'ii | madaallii | madaala | madaalachuu,/ˈdeːbɪsɐ/,yes,medium,response/ answer/ replay,,,
unit-97-measuring,kilo,noun,kiiloo,,/ˈkiːlóː/,no,high,kilo,,,
unit-97-measuring,proportion,noun,qixxaantaa,,/ˈkʼɪtʼːɑːntɑ́ː/,no,high,proportion,,,
unit-97-measuring,barometer,noun,madaalqilleensaa,,/ˈmɐdɑːlkʼɪlːeːnsɑ́ː/,no,high,barometer,,,
unit-97-measuring,pendulum,noun,roodita,,/ˈroːdɪtɐ/,no,high,pendulum,,,
unit-97-measuring,calculation,noun,shallaggi,,/ˈʃɐlːɐɡːɪ/,no,high,calculation,,,
unit-97-measuring,accuracy,noun,sirrummaa,,/ˈsɪrːʊmːɑ́ː/,no,high,"accuracy, correctness, fairness",,,
unit-97-measuring,magnitude,noun,hagammee,,/ˈhɐɡɐmːéː/,no,high,magnitude,,,
unit-97-measuring,frequency,noun,deddeebitii,,/ˈdɛdːeːbɪtíː/,yes,high,frequency,,,
unit-97-measuring,voltage,noun,voolteejii,,/ˈvoːlteːd͡ʒíː/,yes,high,voltage,,,
