unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-98-tradition,faith,noun,amantee,amantii,/ɐmɐntéː/,yes,medium,"belief, truth, faith",,,
unit-98-tradition,religion,noun,amantii,hiikee | qaalluu | jayii | ammachiifata,/ɐmɐntíː/,yes,high,religion,,,
unit-98-tradition,monk,noun,buukkoo,moloksee,/ˈbuːkːóː/,yes,medium,monk,,,
unit-98-tradition,nun,noun,gaaltama,,/ˈɡɑːltɐmɐ/,no,high,nun,,,
unit-98-tradition,prophet,noun,raajicha,raagaa | moorsisuu,/ˈrɑːd͡ʒɪt͡ʃɐ/,no,medium,prophet,,,
unit-98-tradition,angel,noun,ergamaawaaqaa,,/ɛrɡɐmɑːwɑːkʼɑ́ː/,yes,high,angel,,,
unit-98-tradition,soul,noun,lubbuu,,,no,high,"soul, spirit",,,
unit-98-tradition,heaven,noun,waaqa,,,no,high,god,,,
unit-98-tradition,sin,noun,cubbuu,dilii | xuurii | dalagduu | dalagsisuu,/ˈt͡ʃʼʊbːúː/,yes,medium,sin,,,
unit-98-tradition,sacrifice,noun,aarsaa,aarsuu | qalma | kittimuu | kitimachuu,/ɑːrsɑ́ː/,yes,high,sacrifice,,,
unit-98-tradition,culture,noun,aadaa,ayyaada | duudhaa | facaafachuu | aadaa afkaalaa,/ɑːdɑ́ː/,yes,high,"culture, custom",,,
unit-98-tradition,heritage,noun,dhaala,hambaa,/ˈᶑɑːlɐ/,yes,medium,"inheritance, heritage",,,
unit-98-tradition,taboo,noun,legoo,tooba | laguu | cagginoo | lagachuu,/ˈlɛɡóː/,no,medium,taboo,,,
unit-98-tradition,burial,noun,awwaala,gataa | eddoo awwaalaa | kafanuu | lafa awwaalaa,/ɐwːɑːlɐ/,yes,high,burial,,,
unit-98-tradition,covenant,noun,kakuu,,/ˈkɐkúː/,no,high,covenant,,,
unit-98-tradition,apostle,noun,daraasaa,,/ˈdɐrɑːsɑ́ː/,yes,high,"deacon, apostle",,,
unit-98-tradition,bishop,noun,abuunii,phaaphaasii | mana qaalluu,/ɐbuːníː/,yes,medium,bishop,,,
unit-98-tradition,messiah,noun,furaa,,/ˈfʊrɑ́ː/,yes,high,key,,,
unit-98-tradition,gospel,noun,aaga,Aagoo,/ɑːɡɐ/,yes,medium,mercy,,,
unit-98-tradition,worship,noun,waaqeffannaa,sagadachuu | salaatuu | waaqeffachuu | irreeffacha,/ˈwɑːkʼɛfːɐnːɑ́ː/,no,high,worship,,,
unit-98-tradition,circumcision,noun,dhannaqabaa,absumuu | dhagna qabaa | jaaltuu | mata qabuu,/ˈᶑɐnːɐkʼɐbɑ́ː/,yes,high,circumcision,,,
unit-98-tradition,sorcerer,noun,moraa,falfala | faguu,/ˈmɔrɑ́ː/,no,medium,sorcerer,,,
unit-98-tradition,deity,noun,qaracoo,daddarbaa | hurruubuu | Waaqa,/ˈkʼɐrɐt͡ʃʼóː/,no,high,deity,,,
unit-98-tradition,mourning,noun,boo'a,gufafa | dagamsuu,/ˈboːʔɐ/,yes,medium,weep,,,
