unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-99-amounts,piece,noun,aanxaa,callee | baqqana | buurana | citaa,/ɑːntʼɑ́ː/,yes,high,"splinter, piece",,,
unit-99-amounts,handful,noun,aboottee,konyee | hammaarrii | kaballaa | qabalama,/ɐboːtːéː/,yes,medium,fist,,,
unit-99-amounts,heap,noun,gucoo,tuullaa | tuullachuu | tuulsisuu | guucca'uu,/ˈɡʊt͡ʃʼóː/,no,medium,heap,,,
unit-99-amounts,bundle,noun,bishii,hanqaaraa | ruubana | beendoo | haqaara,/ˈbɪʃíː/,yes,medium,bundle,,,
unit-99-amounts,bunch,noun,haqaara,cuqqaallaa | guttiyyee | hammata | hurbuu,/ˈhɐkʼɑːrɐ/,no,high,"package, bunch, bundle",,,
unit-99-amounts,majority,noun,wayyaba,,/ˈwɐjːɐbɐ/,no,high,majority,,,
unit-99-amounts,minority,noun,maandhummaa,maddummaa,/ˈmɑːnᶑʊmːɑ́ː/,no,medium,minority,,,
unit-99-amounts,shortage,noun,dhiba,duubboo | dheebicha | naanniga | anqisiisuu,/ˈᶑɪbɐ/,yes,high,lack,,,
unit-99-amounts,difference,noun,addaddummaa,addummaa | garaagarummaa,/ɐdːɐdːʊmːɑ́ː/,yes,medium,difference,,,
unit-99-amounts,plurality,noun,danumma,,/ˈdɐnʊmːɐ/,yes,high,plurality,,,
unit-99-amounts,remnant,noun,arcaatuu,hambaa | duguugsisuu | duguuguu,/ɐrt͡ʃʼɑːtúː/,yes,high,remnant,,,
unit-99-amounts,leftover,noun,hafaa,hambaa,/ˈhɐfɑ́ː/,no,medium,leftover/absent,,,
unit-99-amounts,cluster,noun,gorboba,tucuu,/ˈɡɔrbɔbɐ/,no,high,cluster,,,
unit-99-amounts,multiple,noun,danee,,/ˈdɐnéː/,yes,high,multiple,,,
