unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,verdict_ok_or_fix,notes
unit-01-family,mother,noun,aayyee,deessee | aayyoo | dhalee | haadha,/ɑːjːéː/,yes,medium,mother,,
unit-01-family,father,noun,abbaa,aabba | habbaayyoo | aabbaabba | abaabayyuu,/ɐbːɑ́ː/,yes,medium,father,,
unit-01-family,child,noun,daa'im,dhala | saldheessa | mucaa | mucayyoo,/ˈdɑːʔɪm/,yes,medium,child,,
unit-01-family,baby,noun,daa'ima,taaboree | amnuu | cittaa | arrittii,/ˈdɑːʔɪmɐ/,yes,medium,"baby, infant",,
unit-01-family,brother,noun,obboleessa,koodee | goofaa | haadhoo | mandicha,/ɔbːɔleːsːɐ/,no,medium,brother,,
unit-01-family,sister,noun,obboleettii,koodee | obboo | beembeetoo | bembeetoo,/ɔbːɔleːtːíː/,no,medium,sister,,
unit-01-family,son,noun,ilma,balcha | sooree | abbaa gurbaa | ilma Kiristinnaa,,no,high,son,,
unit-01-family,daughter,noun,intala,intalattii | jaartii-ilmaa | sootala | abbaa intalaa,,no,high,daughter,,
unit-01-family,grandmother,noun,akkayyaa,,/ɐkːɐjːɑ́ː/,yes,high,grandmother,,
unit-01-family,grandfather,noun,akaakayyuu,abaabiyyoo,/ɐkɑːkɐjːúː/,yes,high,grandfather,,
unit-01-family,family,noun,maatii,abbaadhoo | haskaa | hortee | warra,,no,medium,family,,
unit-01-family,boy,noun,gurbicha,dhiyeessaa | arrittii | gurbayyoo | gaarayyuu,/ˈɡʊrbɪt͡ʃɐ/,no,medium,the bridegroom,,
unit-01-family,girl,noun,dubara,intalattii | aseennaa | dumbushee | habalee,/ˈdʊbɐrɐ/,yes,high,girl,,
unit-01-family,man,noun,dhiira,namittii | dhiirti | ja'uu | aseennaa,/ˈᶑiːrɐ/,yes,medium,man,,
unit-01-family,woman,noun,dubarti,dubartii | gannee | hanfalaa | nadheen,/ˈdʊbɐrtɪ/,yes,medium,woman,,
unit-01-family,friend,noun,daraboo,jaaltuu | michuu | saahiba | addooyyee,/ˈdɐrɐbóː/,yes,medium,friend,,
unit-01-family,name,noun,maqaa,adulaala | adulee | amallaqaa | ameeraa,/mɐˈkʼɑ́ː/,no,high,name,,
unit-01-family,home,noun,ardaga,ka'umsa | agibaarittii | hojmanee | kaleeffama,/ɐrdɐɡɐ/,yes,medium,"home, see 'qeyee'",,
unit-01-family,husband,noun,dhirsa,abbaa warraa | abbaa manaa | goofaa | qaraa,/ˈᶑɪrsɐ/,yes,high,husband,,
unit-01-family,wife,noun,jaartii,niitii | niitiifuudhuu | haadha manaa | obbolee,/ˈd͡ʒɑːrtíː/,no,medium,old (fem.),,
unit-01-family,uncle,noun,eessuma,wasiila | abbuyyaa | aabboo xiqqaa | abbo guddoo,/eːsːʊmɐ/,yes,medium,uncle (maternal),,
unit-01-family,aunt,noun,indoo,indoodoo | indootiyyaa | indootoo | adaadaa,/ɪndóː/,no,medium,"aunt, sister of one's mother",,
unit-01-family,people,noun,nama,namoota | ummata | warra | boordoo,/ˈnɐ́mɐ/,no,medium,people,,
unit-01-family,neighbor,noun,ollummaa,,/ɔlːʊmːɑ́ː/,no,low,neighbor hood,,
unit-01-family,guest,noun,keessummaa,askutii,,no,high,guest,,
unit-02-food-and-drink,water,noun,bishaan,bisaani | dhimphuu | bacaqqee | baccee,/bɪˈʃɑ́ːn/,yes,medium,water,,
unit-02-food-and-drink,milk,noun,annan,aannan | elmuu | adii sa'aa | helemachuu,/ɐnːɐn/,yes,medium,milk,,
